[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Tag[ route_check ] --START--
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Run CheckRoute Behavior [ RunTime:0.005202s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Tag[ route_check ] --END-- [ RunTime:0.005412s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Tag[ app_begin ] --START--
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003036s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003193s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.003685s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined variable: condition NewAction.class.php 第 156 行.
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | SQL: SELECT COUNT(*) AS tp_count FROM `news` join newtype on newtype.id=news.newtype LIMIT 1   [ RunTime:0.009672s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined variable: condition NewAction.class.php 第 159 行.
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | NOTIC: [2] Invalid argument supplied for foreach() NewAction.class.php 第 159 行.
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined variable: condition NewAction.class.php 第 165 行.
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | SQL: SELECT news.id,news.newtitle,news.author,news.newcontent,news.newremark,news.fstcreate,news.isdel,newtype.typename FROM `news` join newtype on newtype.id=news.newtype ORDER BY id desc  LIMIT 0,20   [ RunTime:0.001592s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Tag[ view_template ] --START--
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Run LocationTemplate Behavior [ RunTime:0.007122s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Tag[ view_template ] --END-- [ RunTime:0.007222s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Tag[ view_parse ] --START--
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined index:  newstitle d4c97a7ec5b01ecd4ff718d42f493d90.php 第 12 行.
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined index:  isdel d4c97a7ec5b01ecd4ff718d42f493d90.php 第 13 行.
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Run ParseTemplate Behavior [ RunTime:0.114577s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Tag[ view_parse ] --END-- [ RunTime:0.114689s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Tag[ view_filter ] --START--
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Run ContentReplace Behavior [ RunTime:0.006384s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Run TokenBuild Behavior [ RunTime:0.002610s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001928s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Run ShowRuntime Behavior [ RunTime:0.004554s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015796s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Tag[ view_end ] --START--
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Run ShowPageTrace Behavior [ RunTime:0.002055s ]
[ 2013-11-01T15:03:23+08:00 ] /admin/New/newlist | INFO: Tag[ view_end ] --END-- [ RunTime:0.002144s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Tag[ route_check ] --START--
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Run CheckRoute Behavior [ RunTime:0.002353s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002502s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Tag[ app_begin ] --START--
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001781s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001908s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | SQL: SHOW COLUMNS FROM `admin` [ RunTime:0.005407s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | SQL: SELECT * FROM `admin` WHERE ( `UserName` = 'lizhi' ) AND ( `IsAdmin` = 1 )  [ RunTime:0.003198s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_template ] --START--
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Run LocationTemplate Behavior [ RunTime:0.003629s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.003737s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_parse ] --START--
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Run ParseTemplate Behavior [ RunTime:0.026022s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026154s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_filter ] --START--
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Run ContentReplace Behavior [ RunTime:0.002031s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Run TokenBuild Behavior [ RunTime:0.001682s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001502s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001726s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007201s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_end ] --START--
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.002190s ]
[ 2013-11-01T15:03:25+08:00 ] /admin/Index/checklogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.002277s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Tag[ route_check ] --START--
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Run CheckRoute Behavior [ RunTime:0.004267s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Tag[ route_check ] --END-- [ RunTime:0.004405s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Tag[ app_begin ] --START--
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005561s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005638s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | SQL: SHOW COLUMNS FROM `menu` [ RunTime:0.003607s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | SQL: SELECT pagemenu.id,menu.menuname,pagemenu.pagename,pagemenu.type,pagemenu.pageurl FROM `menu` left join pagemenu on pagemenu.type = menu.id  [ RunTime:0.003307s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Tag[ view_template ] --START--
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Run LocationTemplate Behavior [ RunTime:0.002539s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Tag[ view_template ] --END-- [ RunTime:0.002623s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Run ParseTemplate Behavior [ RunTime:0.029730s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029960s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Run ContentReplace Behavior [ RunTime:0.001417s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Run TokenBuild Behavior [ RunTime:0.001280s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001159s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Run ShowRuntime Behavior [ RunTime:0.002569s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006641s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Tag[ view_end ] --START--
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Run ShowPageTrace Behavior [ RunTime:0.001471s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/left | INFO: Tag[ view_end ] --END-- [ RunTime:0.001536s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/main.html | INFO: Tag[ route_check ] --START--
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/main.html | INFO: Run CheckRoute Behavior [ RunTime:0.004560s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/main.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.004669s ]
