[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002150s ]
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002283s ]
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.002761s ]
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.002887s ]
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.052250s ]
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.052356s ]
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.003429s ]
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001660s ]
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001251s ]
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001528s ]
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008207s ]
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001500s ]
[ 2013-11-13T16:18:09+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001565s ]
[ 2013-11-13T16:18:10+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:18:10+08:00 ] /admin/Index/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.015377s ]
[ 2013-11-13T16:18:10+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.015519s ]
[ 2013-11-13T16:18:10+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:10+08:00 ] /admin/Index/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002165s ]
[ 2013-11-13T16:18:10+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002269s ]
[ 2013-11-13T16:18:10+08:00 ] /admin/Index/verify/ | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-11-13T16:18:14+08:00 ] /admin/Index/verify/0.3597514145076275 | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:18:14+08:00 ] /admin/Index/verify/0.3597514145076275 | INFO: Run CheckRoute Behavior [ RunTime:0.001588s ]
[ 2013-11-13T16:18:14+08:00 ] /admin/Index/verify/0.3597514145076275 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001753s ]
[ 2013-11-13T16:18:14+08:00 ] /admin/Index/verify/0.3597514145076275 | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:14+08:00 ] /admin/Index/verify/0.3597514145076275 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000923s ]
[ 2013-11-13T16:18:14+08:00 ] /admin/Index/verify/0.3597514145076275 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001036s ]
[ 2013-11-13T16:18:14+08:00 ] /admin/Index/verify/0.3597514145076275 | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/0.5750382978003472 | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/0.5750382978003472 | INFO: Run CheckRoute Behavior [ RunTime:0.002090s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/0.5750382978003472 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002227s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/0.5750382978003472 | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/0.5750382978003472 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001606s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/0.5750382978003472 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001686s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/0.5750382978003472 | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/0.31046236539259553 | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/0.31046236539259553 | INFO: Run CheckRoute Behavior [ RunTime:0.002044s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/0.31046236539259553 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002169s ]
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/0.31046236539259553 | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:15+08:00 ] /admin/Index/verify/0.31046236539259553 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001476s ]
