[ 2013-11-04T14:39:16+08:00 ] /Login/verify/0.16868223971687257 | INFO: Tag[ route_check ] --START--
[ 2013-11-04T14:39:16+08:00 ] /Login/verify/0.16868223971687257 | INFO: Run CheckRoute Behavior [ RunTime:0.002595s ]
[ 2013-11-04T14:39:16+08:00 ] /Login/verify/0.16868223971687257 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002717s ]
[ 2013-11-04T14:39:16+08:00 ] /Login/verify/0.16868223971687257 | INFO: Tag[ app_begin ] --START--
[ 2013-11-04T14:39:16+08:00 ] /Login/verify/0.16868223971687257 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001521s ]
[ 2013-11-04T14:39:16+08:00 ] /Login/verify/0.16868223971687257 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001602s ]
[ 2013-11-04T14:39:16+08:00 ] /Login/verify/0.16868223971687257 | NOTIC: [8] Use of undefined constant gif - assumed 'gif' LoginAction.class.php 第 69 行.
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ route_check ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run CheckRoute Behavior [ RunTime:0.002349s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002506s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ app_begin ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001711s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001775s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.003714s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | SQL: SELECT * FROM `indexmenu` WHERE isdel=0  [ RunTime:0.001804s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002831s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.002920s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | NOTIC: [8] Undefined index:  uname 04b74bac16018df793b2b10a9602b31e.php 第 16 行.
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.022331s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022416s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ContentReplace Behavior [ RunTime:0.001152s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run TokenBuild Behavior [ RunTime:0.001945s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001061s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001247s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005660s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000978s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.028263s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.004715s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.006873s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000102s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000069s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000120s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.006111s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001201s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.034830s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.004489s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.013789s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000078s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000068s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
