[ 2013-11-07T10:58:36+08:00 ] /?r=manage/left | INFO: Tag[ app_begin ] --START--
[ 2013-11-07T10:58:36+08:00 ] /?r=manage/left | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003934s ]
[ 2013-11-07T10:58:36+08:00 ] /?r=manage/left | INFO: Tag[ app_begin ] --END-- [ RunTime:0.016444s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.067515s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | SQL: SELECT * FROM `indexmenu` WHERE isdel=0 ORDER BY sort  [ RunTime:0.006010s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.003921s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:0.004034s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.028066s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028223s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.001437s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.001418s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001219s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.001417s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005742s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.035681s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | SQL: SELECT `id`,`newtitle`,`count` FROM `news` ORDER BY count LIMIT 10   [ RunTime:0.258418s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.000861s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.329032s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.004642s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.301670s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.000102s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000070s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000120s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.300642s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.000810s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.335294s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.002352s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.307867s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.000088s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000071s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000118s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.304574s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | SQL: SELECT `id`,`newtitle`,`fstcreate` FROM `news` ORDER BY id LIMIT 10   [ RunTime:0.023014s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | SQL: SELECT `id`,`newtitle`,`fstcreate`,`count` FROM `news` ORDER BY count,id LIMIT 10   [ RunTime:0.006584s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | SQL: SELECT news.id,count(comment.type) as counts,news.newtitle FROM `news` left join comment on comment.type=news.id WHERE comment.isdel=1 GROUP BY comment.type ORDER BY counts desc  [ RunTime:0.027698s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.000874s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.397695s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.008785s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.370338s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.000097s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000071s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000122s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.373468s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | SQL: SHOW COLUMNS FROM `newtype` [ RunTime:0.040453s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | SQL: SELECT * FROM `newtype` WHERE isdel=0   [ RunTime:0.000885s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.001030s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.450049s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.004405s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.422852s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.000082s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000069s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000117s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.421600s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | SQL: SELECT COUNT(*) AS tp_count FROM `news` join newtype on newtype.id=news.newtype LIMIT 1   [ RunTime:0.004961s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | SQL: SELECT news.id,news.newtitle,news.author,news.fstcreate,news.newcontent,`count`,`typename`,`entypename`,`newimg` FROM `news` join newtype on newtype.id=news.newtype ORDER BY id desc  LIMIT 0,32   [ RunTime:0.001950s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.000896s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.464198s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.010330s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.436912s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.000310s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000072s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000152s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.441592s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.000929s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.476496s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.004420s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.449193s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ContentReplace Behavior [ RunTime:0.000145s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run TokenBuild Behavior [ RunTime:0.000094s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000022s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000132s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.447960s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run LocationTemplate Behavior [ RunTime:0.007979s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_template ] --END-- [ RunTime:-0.483118s ]
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Tag[ view_parse ] --START--
[ 2013-11-07T10:58:37+08:00 ] /?r=manage/left | INFO: Run ParseTemplate Behavior [ RunTime:0.004801s ]
