[ 2013-11-12T15:28:23+08:00 ] /?r=User | INFO: Tag[ app_begin ] --START--
[ 2013-11-12T15:28:23+08:00 ] /?r=User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003601s ]
[ 2013-11-12T15:28:23+08:00 ] /?r=User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003837s ]
[ 2013-11-12T15:28:23+08:00 ] /?r=User | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.034073s ]
[ 2013-11-12T15:28:23+08:00 ] /?r=User | SQL: SELECT * FROM `indexmenu` WHERE isdel=0 ORDER BY sort  [ RunTime:0.001455s ]
[ 2013-11-12T15:28:23+08:00 ] /?r=User | INFO: Tag[ view_template ] --START--
[ 2013-11-12T15:28:23+08:00 ] /?r=User | INFO: Run LocationTemplate Behavior [ RunTime:0.004723s ]
[ 2013-11-12T15:28:23+08:00 ] /?r=User | INFO: Tag[ view_template ] --END-- [ RunTime:0.004858s ]
[ 2013-11-12T15:28:23+08:00 ] /?r=User | INFO: Tag[ view_parse ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ParseTemplate Behavior [ RunTime:0.073918s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_parse ] --END-- [ RunTime:0.074061s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_filter ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ContentReplace Behavior [ RunTime:0.003698s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run TokenBuild Behavior [ RunTime:0.003568s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002828s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ShowRuntime Behavior [ RunTime:0.002866s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_filter ] --END-- [ RunTime:0.013359s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.022944s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | SQL: SELECT `id`,`newtitle`,`count` FROM `news` ORDER BY count LIMIT 10   [ RunTime:0.325808s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_template ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run LocationTemplate Behavior [ RunTime:0.015427s ]
