[ 2013-12-06T11:07:13+08:00 ] /?search_article=uuu | INFO: Tag[ app_begin ] --START--
[ 2013-12-06T11:07:13+08:00 ] /?search_article=uuu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004489s ]
[ 2013-12-06T11:07:13+08:00 ] /?search_article=uuu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005232s ]
[ 2013-12-06T11:07:13+08:00 ] /?search_article=uuu | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.006861s ]
[ 2013-12-06T11:07:13+08:00 ] /?search_article=uuu | SQL: SELECT * FROM `indexmenu` WHERE isdel=0 ORDER BY sort  [ RunTime:0.001979s ]
[ 2013-12-06T11:07:13+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:07:13+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.003993s ]
[ 2013-12-06T11:07:13+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:0.004161s ]
[ 2013-12-06T11:07:13+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.023962s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024076s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ContentReplace Behavior [ RunTime:0.001086s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run TokenBuild Behavior [ RunTime:0.001691s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001788s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ShowRuntime Behavior [ RunTime:0.004598s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009575s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.006232s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | SQL: SELECT `id`,`newtitle`,`count` FROM `news` ORDER BY count LIMIT 10   [ RunTime:0.050795s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.002409s ]
