[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ app_begin ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007615s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008085s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.042284s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | SQL: SELECT * FROM `indexmenu` WHERE isdel=0 ORDER BY sort  [ RunTime:0.001030s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002755s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002862s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.026065s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026173s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ContentReplace Behavior [ RunTime:0.001351s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run TokenBuild Behavior [ RunTime:0.001212s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001089s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001277s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005098s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.003001s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | SQL: SELECT `id`,`newtitle`,`count` FROM `news` ORDER BY count LIMIT 10   [ RunTime:0.001179s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001367s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.036353s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.004854s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.011646s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000106s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run TokenBuild Behavior [ RunTime:0.000069s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000119s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.011495s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001214s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.043396s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.002972s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.018478s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000088s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run TokenBuild Behavior [ RunTime:0.000071s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000118s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.016458s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | SQL: SELECT `id`,`newtitle`,`fstcreate` FROM `news` ORDER BY id LIMIT 10   [ RunTime:0.000398s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | SQL: SELECT `id`,`newtitle`,`fstcreate`,`count` FROM `news` ORDER BY count,id LIMIT 10   [ RunTime:0.000432s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | SQL: SELECT news.id,count(comment.type) as counts,news.newtitle FROM `news` left join comment on comment.type=news.id WHERE comment.isdel=1 GROUP BY comment.type ORDER BY counts desc  [ RunTime:0.000443s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001761s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.050531s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008442s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.026195s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run ContentReplace Behavior [ RunTime:0.000097s ]
[ 2013-12-19T10:09:18+08:00 ] /miucool/ | INFO: Run TokenBuild Behavior [ RunTime:0.000067s ]
